id,assesslink,reflection_link
10241,14909.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=34687
10242,14908.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=27466
10244,14910.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33008
10245,14912.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=31642
10247,14913.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33009
10249,16519.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=48138
10252,14917.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33932
10253,14918.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=34696
10254,14920.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=34689
10256,14922.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=31196
10257,14921.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33010
10258,14925.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33011
10259,14923.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=32505
10260,14924.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=31077
10261,14926.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=31645
10693,14938.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=31732
10694,14939.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=34072
10696,14941.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33012
10697,14942.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=34074
10698,14944.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33013
10699,14943.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33014
10700,14945.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33752
10702,14947.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33065
10703,14949.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33015
10951,14927.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=34078
10952,20557.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=56164
10953,14928.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=31734
10954,14929.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=32817
10955,17525.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=52057
10956,18101.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54369
10957,14930.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=34079
10958,14933.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33043
10959,14931.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=31735
10960,14934.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33016
10962,17864.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=53659
10963,17866.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=53660
10965,20559.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=56165
10966,14937.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=32818
10967,17868.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=53661
11215,14951.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=34873
11216,17669.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=52919
11217,14950.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=34081
11218,20563.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=56167
11219,28913.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=72712
11220,14952.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=31647
11221,14953.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=36119
11222,18111.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54374
11300,18115.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54376
11301,20565.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=56168
11945,17673.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=52921
11946,14936.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=33736
11947,15764.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=46890
11948,18107.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54372
11949,18109.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54373
12143,14954.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=36121
12144,19703.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54885
12145,30136.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=85145
12146,18145.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54391
12147,17533.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=52160
12463,19400.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54751
12464,17519.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=51963
12465,20567.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=56169
12466,19458.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54780
12468,18113.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54375
12469,18117.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54377
12470,17521.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=51964
12966,17654.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=52904
12967,17675.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=52922
13322,20571.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=56171
13323,20569.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=56170
13324,19692.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54881
13325,20573.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=56172
13326,19694.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54882
13327,15618.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=46132
15757,17582.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=52577
15758,18147.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=54392
16419,31080.0,https://smu.chalkandwire.com/DemographicsRun.aspx?TopicId=146&deptID=0&AllocationID=81494
