id,assesslink
1000,
10000,
10001,
10002,
10003,
10004,
10005,
1001,
1002,
1003,
1004,
1005,
1006,
10068,
10069,
10070,
10071,
10072,
10073,
10074,
10075,
10076,
10077,
10078,
10079,
10080,
10263,
10264,
10265,
10266,
10267,
10268,
10269,
10270,
10271,
10272,
10273,
10274,
10275,
10276,
10277,
10278,
10279,
10280,
10281,
10282,
10283,
10284,
10285,
10286,
10287,
10288,
10289,
10290,
10291,
10292,
10293,
10294,
10295,
10296,
10297,
10298,
10299,
10300,
10301,
10302,
10303,
10304,
10305,
10306,
10307,
10308,
10309,
10310,
10311,
10312,
10313,
10314,
10315,
10316,
10317,
10318,
10319,
10320,
10321,
10322,
10323,
10324,
10325,
10326,
10327,
10328,
10329,
10330,
10331,
10332,
10333,
10334,
10335,
10336,
10337,
10338,
10339,
10340,
10341,
10342,
10343,
10344,
10345,
10346,
10347,
10348,
10349,
10350,
10351,
10352,
10353,
10354,
10355,
10356,
10357,
10358,
10359,
10360,
10361,
10362,
10363,
10364,
10365,
10366,
10367,
10368,
10369,
10370,
10371,
10372,
10373,
10374,
10375,
10376,
10377,
10378,
10379,
10380,
10625,
10626,
10627,
10628,
10629,
10630,
10631,
10632,
10633,
10634,
10635,
10636,
10637,
10638,
10639,
10640,
10641,
10642,
10643,
10644,
10645,
10646,
10647,
10648,
10649,
10650,
10651,
10652,
10653,
10654,
10655,
10656,
10657,
10659,
10660,
10661,
10662,
10663,
10664,
10665,
10666,
10667,
10668,
10669,
10670,
10671,
10672,
10673,
10674,
10675,
10676,
10677,
10678,
10679,
10680,
10681,
10682,
10683,
10684,
10685,
10686,
10687,
10688,
10689,
10690,
10691,
10692,
10705,
10706,
10707,
10708,
10709,
10710,
10711,
10712,
10713,
10714,
10715,
10716,
10717,
10718,
10719,
10720,
10721,
10722,
10723,
10724,
10725,
10726,
10727,8819.0
10728,8821.0
10729,8823.0
10730,8825.0
10731,8827.0
10732,
10733,
10734,
10834,8883.0
10835,8885.0
10836,8887.0
10837,8889.0
10838,8891.0
10839,8893.0
10840,8895.0
10841,8897.0
10842,8899.0
10843,8901.0
10844,8903.0
10845,8905.0
10847,
10848,
10849,
10850,
10851,
10852,
10853,
